"","GTAP_Region","CLUM_category","year","NApercent","ZScore_Index","MaxMin_Index"
"573","Azerbaijan","Housing",2007,28.5714285714286,0.430985750937568,0.867832736480361
"574","Azerbaijan","Personal Transportation",2007,88.8888888888889,-0.8009328481641,0.466200466200466
"575","Azerbaijan","Services",2007,4.76190476190476,0.35478257151343,0.659124776678743
"576","Azerbaijan","Food",2011,0,0.346010361270377,0.632534043820785
"577","Azerbaijan","Government",2011,33.3333333333333,-0.0846186727914344,0.46108361436026
"578","Azerbaijan","Gross Fixed Capital Formation",2011,0,0.195063801070489,0.418545819226203
"579","Azerbaijan","Housing",2011,14.2857142857143,0.615821702490572,0.899102976226264
"580","Azerbaijan","Services",2011,14.2857142857143,0.360868210828232,0.664284334596647
"581","Bahrain","Gross Fixed Capital Formation",2004,60,0.246753601482068,0.57458708351601
"582","Bahrain","Housing",2004,0,0.997833027599909,0.992925466917873
"583","Bahrain","Services",2004,16.6666666666667,0.47229160343366,0.66433642373415
"584","Bahrain","Government",2007,27.2727272727273,-0.135244450747992,0.395866390086984
"585","Bahrain","Gross Fixed Capital Formation",2007,50,0.245232231342834,0.65323403650332
"586","Bahrain","Housing",2007,14.2857142857143,0.961867963431886,0.99311113347321
"587","Bahrain","Personal Transportation",2007,88.8888888888889,1.15452820201183,0.792540792540792
"588","Bahrain","Services",2007,42.8571428571429,0.320369172220756,0.559601693839781
"589","Bahrain","Gross Fixed Capital Formation",2011,66.6666666666667,1.13927390066856,0.941176470588235
"590","Bahrain","Housing",2011,14.2857142857143,0.91391481236775,0.993333333333333
"591","Bahrain","Services",2011,14.2857142857143,0.551519969404618,0.733807358811073
"592","Bangladesh","Food",2004,9.09090909090909,-0.248199605991898,0.518523361977576
"593","Bangladesh","Government",2004,20,-0.390945560592521,0.432618134825067
"594","Bangladesh","Gross Fixed Capital Formation",2004,0,-0.515280214471848,0.13970937816096
"595","Bangladesh","Housing",2004,16.6666666666667,-0.58331564496668,0.467199577199024
"596","Bangladesh","Personal Transportation",2004,50,1.49659059089492,1
"597","Bangladesh","Services",2004,50,-0.564305314746093,0.385409298532521
"598","Bangladesh","Food",2007,18.1818181818182,-0.38057081725211,0.476830113702931
"599","Bangladesh","Government",2007,27.2727272727273,0.0617788271950537,0.534944061201261
"600","Bangladesh","Gross Fixed Capital Formation",2007,0,-0.652273123191166,0.268808091111334
"601","Bangladesh","Housing",2007,14.2857142857143,-0.515364300692316,0.469663215762713
"602","Bangladesh","Personal Transportation",2007,88.8888888888889,-0.395873059199086,0.533799533799534
"603","Bangladesh","Services",2007,28.5714285714286,-0.467459566524555,0.427288740107114
"604","Bangladesh","Food",2011,10,-0.409032866326644,0.492094387367134
"605","Bangladesh","Government",2011,33.3333333333333,-0.0314783802645662,0.422205410521841
"606","Bangladesh","Gross Fixed Capital Formation",2011,0,-0.51496205378729,0.288723597655614
"607","Bangladesh","Housing",2011,14.2857142857143,-0.504301322043091,0.49446096533257
"608","Bangladesh","Services",2011,28.5714285714286,-0.448458092509211,0.41723041082788
"609","Belarus","Food",2004,36.3636363636364,-0.0922740813354801,0.434879941835272
"610","Belarus","Government",2004,30,-0.156640521918171,0.483869975223636
"611","Belarus","Gross Fixed Capital Formation",2004,20,0.0231714132536637,0.321620133476663
"612","Belarus","Housing",2004,0,0.877991378163786,0.954632787175054
"613","Belarus","Services",2004,11.1111111111111,0.614343933153727,0.715756743340989
"614","Belarus","Food",2007,36.3636363636364,0.137298731202466,0.443092221771046
"615","Belarus","Government",2007,9.09090909090909,-0.100741302972044,0.525880277389229
"616","Belarus","Gross Fixed Capital Formation",2007,16.6666666666667,0.0568031227749272,0.375688186646976
"617","Belarus","Housing",2007,14.2857142857143,0.839054760612873,0.956159730372348
"618","Belarus","Personal Transportation",2007,88.8888888888889,0.0790246244150676,0.613053613053613
"619","Belarus","Services",2007,19.047619047619,0.595118660322459,0.738904071042837
"620","Belarus","Food",2011,40,0.273958396442476,0.501397868583906
"621","Belarus","Government",2011,8.33333333333333,-0.467369304100638,0.48789980175727
"622","Belarus","Gross Fixed Capital Formation",2011,16.6666666666667,0.272388914483583,0.409455055509259
"623","Belarus","Housing",2011,14.2857142857143,0.781568801538459,0.955918233600634
"624","Belarus","Services",2011,14.2857142857143,0.68767900270933,0.775149637437545
"625","Belgium","Food",2004,45.4545454545455,1.08070371770523,0.621095370328615
"626","Belgium","Government",2004,30,0.71954295373835,0.614470634990662
"627","Belgium","Gross Fixed Capital Formation",2004,20,0.25712783744898,0.384925128782401
"628","Belgium","Housing",2004,0,0.942997342752625,0.976218617851722
"629","Belgium","Services",2004,33.3333333333333,1.01530451096227,0.803883994792961
"630","Belgium","Food",2007,45.4545454545455,0.45438022915148,0.547727080653028
"631","Belgium","Government",2007,27.2727272727273,0.594340609828861,0.604871784366731
"632","Belgium","Gross Fixed Capital Formation",2007,16.6666666666667,0.301516208736047,0.486837000411388
"633","Belgium","Housing",2007,14.2857142857143,0.916779941184675,0.979575560774664
"634","Belgium","Personal Transportation",2007,88.8888888888889,1.99258293780151,0.932400932400932
"635","Belgium","Services",2007,42.8571428571429,0.872081644098616,0.751075516885483
"636","Belgium","Food",2011,50,0.732229997981103,0.632214729953186
"637","Belgium","Government",2011,16.6666666666667,0.281903888944791,0.545053100216993
"638","Belgium","Gross Fixed Capital Formation",2011,16.6666666666667,0.786403270608444,0.601254743375555
"639","Belgium","Housing",2011,14.2857142857143,0.882521195191147,0.984047794666013
"640","Belgium","Services",2011,28.5714285714286,0.778560154553993,0.754732042274768
"641","Benin","Food",2004,54.5454545454545,-0.0397734422479256,0.511486422157441
"642","Benin","Goods",2004,33.3333333333333,-0.432570522047715,0.106881389926818
"643","Benin","Government",2004,10,-0.370318122450221,0.443492270729695
"644","Benin","Gross Fixed Capital Formation",2004,80,-1.5807095798532,0.2868416
"645","Benin","Housing",2004,16.6666666666667,-1.72675165024375,0.188983115560484
"646","Benin","Personal Transportation",2004,80,-0.912995075087262,0.0475
"647","Benin","Services",2004,27.7777777777778,-1.12826597862813,0.315866479780205
"648","Benin","Food",2007,54.5454545454545,-0.484794313689938,0.492700127308811
"649","Benin","Goods",2007,33.3333333333333,-0.451554131442645,0.182142724445634
"650","Benin","Government",2007,27.2727272727273,-0.163160453350033,0.415731229222459
"651","Benin","Gross Fixed Capital Formation",2007,33.3333333333333,-0.409537703781883,0.425937329283081
"652","Benin","Housing",2007,14.2857142857143,-1.7080691365991,0.178212817550312
"653","Benin","Personal Transportation",2007,77.7777777777778,-0.660355042552256,0.258210754762479
"654","Benin","Services",2007,47.6190476190476,-0.684062276750586,0.322742142262542
"655","Benin","Food",2011,50,-0.0295108424643882,0.51694465038554
"656","Benin","Gross Fixed Capital Formation",2011,33.3333333333333,-0.86012462330963,0.252008022717437
"657","Benin","Housing",2011,14.2857142857143,-1.76772342144445,0.197185097198334
"658","Benin","Services",2011,23.8095238095238,-0.817079763065926,0.457970300867214
"659","Bolivia","Personal Transportation",2007,88.8888888888889,-0.689192216725475,0.484848484848485
"660","Botswana","Food",2004,45.4545454545455,-0.675475511304391,0.357859351279749
"661","Botswana","Goods",2004,16.6666666666667,1.0504992578436,0.590483093207112
"662","Botswana","Gross Fixed Capital Formation",2004,60,-0.902440516461782,0.214317293734677
"663","Botswana","Housing",2004,16.6666666666667,-0.364211279736723,0.604260618752659
"664","Botswana","Personal Transportation",2004,80,0.600116075416133,0.525259263073957
"665","Botswana","Services",2004,38.8888888888889,-0.0421394142278091,0.640213369881486
"666","Botswana","Food",2007,9.09090909090909,-0.627666362707975,0.44889923582654
"667","Botswana","Government",2007,18.1818181818182,0.632772083762707,0.589467664959084
"668","Botswana","Gross Fixed Capital Formation",2007,16.6666666666667,0.161319824275161,0.377126723873356
"669","Botswana","Housing",2007,28.5714285714286,-0.336580837483095,0.635105816004739
"670","Botswana","Personal Transportation",2007,88.8888888888889,1.17987030552254,0.389655172413793
"671","Botswana","Services",2007,23.8095238095238,0.0353999083904398,0.571387241084727
"672","Botswana","Food",2011,40,-0.769592647517272,0.327048967971254
"673","Botswana","Government",2011,50,-0.139109621821132,0.36503065485124
"674","Botswana","Gross Fixed Capital Formation",2011,33.3333333333333,-0.326714708373522,0.331827692608877
"675","Botswana","Housing",2011,28.5714285714286,-0.24712252572491,0.678258315238021
"676","Botswana","Services",2011,61.9047619047619,-0.416942329937143,0.368808486824653
"677","Brazil","Food",2004,45.4545454545455,0.0920752926923949,0.501134964039754
"678","Brazil","Government",2004,0,-0.216592299702934,0.491233726795914
"679","Brazil","Gross Fixed Capital Formation",2004,0,0.375894559001354,0.342074669987002
"680","Brazil","Housing",2004,0,0.151328860187644,0.746829911229411
"681","Brazil","Services",2004,27.7777777777778,0.0891100417693763,0.52863295669367
"682","Brazil","Food",2007,9.09090909090909,0.485567001510031,0.661639897218963
"683","Brazil","Government",2007,0,-0.193952812110811,0.52042096496695
"684","Brazil","Gross Fixed Capital Formation",2007,0,0.125054954753449,0.420209931161982
"685","Brazil","Housing",2007,14.2857142857143,0.169823786592116,0.768867301881872
"686","Brazil","Personal Transportation",2007,88.8888888888889,0.246635571573004,0.641025641025641
"687","Brazil","Services",2007,33.3333333333333,0.183642814688367,0.537075793914334
"688","Brazil","Food",2011,50,0.482564725778601,0.596782137438612
"689","Brazil","Government",2011,0,-0.112663023371323,0.484283573326291
"690","Brazil","Gross Fixed Capital Formation",2011,0,0.223261852043774,0.459200910596605
"691","Brazil","Housing",2011,14.2857142857143,0.231819392869928,0.803492232032456
"692","Brazil","Services",2011,33.3333333333333,0.362578466588283,0.583159652187142
"693","Brunei Darussalam","Food",2004,45.4545454545455,0.134131115979952,0.503795656800763
"694","Brunei Darussalam","Gross Fixed Capital Formation",2004,40,0.192704509285826,0.404457474539098
"695","Brunei Darussalam","Housing",2004,50,1.02635093603327,0.9996667
"696","Brunei Darussalam","Services",2004,44.4444444444444,0.0498863791730701,0.512382230910539
"697","Brunei Darussalam","Food",2007,45.4545454545455,0.532663653495979,0.527123517241916
"698","Brunei Darussalam","Gross Fixed Capital Formation",2007,50,0.258398045064025,0.443763971871064
"699","Brunei Darussalam","Housing",2007,28.5714285714286,0.868061690627983,0.985093573185574
"700","Brunei Darussalam","Services",2007,42.8571428571429,0.198881401442436,0.633548762622893
"701","Brunei Darussalam","Food",2011,50,0.396803303772689,0.583384897430778
"702","Brunei Darussalam","Government",2011,41.6666666666667,0.184379463024925,0.425711300945061
"703","Brunei Darussalam","Gross Fixed Capital Formation",2011,16.6666666666667,0.148587044887726,0.491791017166108
"704","Brunei Darussalam","Housing",2011,28.5714285714286,0.824218943743963,0.985093573185574
"705","Brunei Darussalam","Services",2011,28.5714285714286,0.166425696692841,0.587895876860752
"706","Bulgaria","Food",2004,9.09090909090909,0.493579469590968,0.628126027564082
"707","Bulgaria","Government",2004,10,-0.514865064272915,0.399080135344263
"708","Bulgaria","Gross Fixed Capital Formation",2004,0,0.0344165362883365,0.282663368684666
"709","Bulgaria","Housing",2004,0,0.456062061270944,0.813243824332348
"710","Bulgaria","Services",2004,11.1111111111111,0.272222413153859,0.648767449398112
"711","Bulgaria","Food",2007,0,-0.0495279029940895,0.56091226335568
"712","Bulgaria","Government",2007,9.09090909090909,-0.347359878598461,0.493607846256108
"713","Bulgaria","Gross Fixed Capital Formation",2007,0,0.134857441225842,0.43436592415654
"714","Bulgaria","Housing",2007,14.2857142857143,0.45697611800476,0.830806054965307
"715","Bulgaria","Personal Transportation",2007,88.8888888888889,-0.144456638462181,0.575757575757576
"716","Bulgaria","Services",2007,19.047619047619,0.428100318357467,0.705480631760024
"717","Bulgaria","Food",2011,50,0.205274619068077,0.559557652741436
"718","Bulgaria","Government",2011,8.33333333333333,-0.0800808847474712,0.459209482337926
"719","Bulgaria","Gross Fixed Capital Formation",2011,0,0.108703026413391,0.428470254122763
"720","Bulgaria","Housing",2011,14.2857142857143,0.463779251974945,0.851793320983644
"721","Bulgaria","Services",2011,19.047619047619,0.460059546794446,0.717934140590282
"722","Burkina Faso","Food",2004,54.5454545454545,-0.913653891751547,0.40980981239662
"723","Burkina Faso","Goods",2004,33.3333333333333,-0.527223080543974,0.0810887695569539
"724","Burkina Faso","Gross Fixed Capital Formation",2004,60,0.603170847101369,0.460091249093112
"725","Burkina Faso","Housing",2004,16.6666666666667,-1.59872453865511,0.230309762666943
"726","Burkina Faso","Personal Transportation",2004,80,-0.858791993561335,0.0541833337148031
"727","Burkina Faso","Services",2004,27.7777777777778,-1.45620357402791,0.298481665337389
"728","Burkina Faso","Food",2007,54.5454545454545,-0.975483410360448,0.402709416637218
"729","Burkina Faso","Goods",2007,16.6666666666667,-0.471362548081914,0.265135287345374
"730","Burkina Faso","Government",2007,9.09090909090909,-0.128807300493997,0.524829533791687
"731","Burkina Faso","Gross Fixed Capital Formation",2007,33.3333333333333,0.398290288287733,0.581436889775079
"732","Burkina Faso","Housing",2007,14.2857142857143,-1.5722876632835,0.222048560850842
"733","Burkina Faso","Personal Transportation",2007,77.7777777777778,-0.762289383710597,0.237521099590065
"734","Burkina Faso","Services",2007,19.047619047619,-0.908683687054689,0.452959235078233
"735","Burkina Faso","Food",2011,10,-0.504846024970189,0.504103045869005
"736","Burkina Faso","Goods",2011,44.4444444444444,-0.221424593291567,0.344260232312025
"737","Burkina Faso","Government",2011,16.6666666666667,-0.0979433960006796,0.433632199807959
"738","Burkina Faso","Gross Fixed Capital Formation",2011,16.6666666666667,-0.582086256605501,0.212371192936294
"739","Burkina Faso","Housing",2011,14.2857142857143,-1.65200459916186,0.236277288567488
"740","Burkina Faso","Services",2011,19.047619047619,-0.909154961548296,0.441345679585243
"741","Cambodia","Food",2004,54.5454545454545,-1.0284021465588,0.440274583326957
"742","Cambodia","Government",2004,0,-0.442945268961101,0.454768555103707
"743","Cambodia","Gross Fixed Capital Formation",2004,40,0.636837067770483,0.351839112182141
"744","Cambodia","Housing",2004,16.6666666666667,-1.57358242437943,0.239068079931894
"745","Cambodia","Services",2004,16.6666666666667,-1.02460353128486,0.314956662138393
"746","Cambodia","Food",2007,54.5454545454545,0.0380846299263816,0.508503070599038
"747","Cambodia","Government",2007,9.09090909090909,-0.360945766505912,0.490852205945507
"748","Cambodia","Gross Fixed Capital Formation",2007,0,0.119779455945397,0.396768821258038
"749","Cambodia","Housing",2007,28.5714285714286,-1.4704513009415,0.297290534014254
"750","Cambodia","Personal Transportation",2007,88.8888888888889,-0.381905480269258,0.536130536130536
"751","Cambodia","Services",2007,9.52380952380952,-0.729806478781282,0.484249098289644
"752","Cambodia","Food",2011,50,0.161013666706376,0.523243639505056
"753","Cambodia","Government",2011,16.6666666666667,-0.335395814844645,0.378911739854657
"754","Cambodia","Gross Fixed Capital Formation",2011,16.6666666666667,-0.308012093119231,0.287325448417143
"755","Cambodia","Housing",2011,14.2857142857143,-0.922165885845616,0.43571334148952
"756","Cambodia","Services",2011,9.52380952380952,-0.572340229664224,0.482466056009892
"757","Cameroon","Food",2004,18.1818181818182,-0.553665491455566,0.526640521378554
"758","Cameroon","Goods",2004,16.6666666666667,-0.269164900646015,0.259231088417454
"759","Cameroon","Government",2004,10,-0.0848707347591867,0.495845606605696
"760","Cameroon","Gross Fixed Capital Formation",2004,60,-0.873445018298419,0.240329197188335
"761","Cameroon","Housing",2004,16.6666666666667,-0.867418532567207,0.430941745407479
"762","Cameroon","Personal Transportation",2004,40,-0.359021732339481,0.497226856623639
"763","Cameroon","Services",2004,44.4444444444444,-0.6698152167484,0.461592581233844
"764","Cameroon","Food",2007,54.5454545454545,-0.02805504584759,0.511108609668497
"765","Cameroon","Goods",2007,16.6666666666667,-0.598293786744694,0.267131884310474
"766","Cameroon","Government",2007,9.09090909090909,-0.0458644765715981,0.546166513289605
"767","Cameroon","Gross Fixed Capital Formation",2007,33.3333333333333,-0.557789220088734,0.406795477303571
"768","Cameroon","Housing",2007,28.5714285714286,-0.934112209685354,0.438559667599204
"769","Cameroon","Personal Transportation",2007,77.7777777777778,-0.651489585877096,0.257238164134716
"770","Cameroon","Services",2007,23.8095238095238,-0.808663080372293,0.458181783743495
"771","Cameroon","Food",2011,10,0.0301172025803337,0.593912372617216
"772","Cameroon","Government",2011,16.6666666666667,-0.312530381656711,0.399392319532016
"773","Cameroon","Gross Fixed Capital Formation",2011,33.3333333333333,-0.698898316919333,0.28988923135985
"774","Cameroon","Housing",2011,14.2857142857143,-1.0747707762018,0.37861350107613
"775","Cameroon","Services",2011,19.047619047619,-0.717863349519572,0.487704934348554
"776","Canada","Food",2004,36.3636363636364,0.00121875360101556,0.51526914132687
"777","Canada","Government",2004,40,0.601989411699957,0.544679221004699
"778","Canada","Gross Fixed Capital Formation",2004,0,0.76129945056476,0.434328838733119
"779","Canada","Housing",2004,0,0.889853550783183,0.961359271921658
"780","Canada","Services",2004,44.4444444444444,1.05891136813652,0.776787358679257
"781","Canada","Food",2007,54.5454545454545,0.145807930300729,0.582435446378427
"782","Canada","Government",2007,9.09090909090909,0.209101615707494,0.563359021761188
"783","Canada","Gross Fixed Capital Formation",2007,0,0.72720419003942,0.518718362460673
"784","Canada","Housing",2007,14.2857142857143,0.861605992261013,0.96433356304794
"785","Canada","Personal Transportation",2007,88.8888888888889,1.92274504315237,0.920745920745921
"786","Canada","Services",2007,42.8571428571429,0.738192517951894,0.715903841837181
"787","Canada","Food",2011,50,0.178520615013125,0.559846128631871
"788","Canada","Government",2011,25,0.079383974950547,0.54781211512389
"789","Canada","Gross Fixed Capital Formation",2011,0,1.13080954012547,0.615112185954497
"790","Canada","Housing",2011,14.2857142857143,0.825020855544449,0.968262965465498
"791","Canada","Services",2011,42.8571428571429,0.633114305698466,0.689510624099426
"792","Chile","Food",2004,9.09090909090909,0.525488936888172,0.685043562691749
"793","Chile","Government",2004,0,0.325552999630569,0.587691838613396
"794","Chile","Gross Fixed Capital Formation",2004,0,-0.125864551528202,0.256454921443914
"795","Chile","Housing",2004,0,0.502454741652946,0.844323236732973
"796","Chile","Services",2004,16.6666666666667,0.274157469420151,0.580415297631556
"797","Chile","Food",2007,0,0.569282165422293,0.64502461979201
"798","Chile","Government",2007,0,0.202377680288643,0.592997680383446
"799","Chile","Gross Fixed Capital Formation",2007,0,-0.0329804613583509,0.387208171361395
"800","Chile","Housing",2007,14.2857142857143,0.538252470571127,0.867607352936241
"801","Chile","Personal Transportation",2007,88.8888888888889,0.679630518397674,0.713286713286713
"802","Chile","Services",2007,28.5714285714286,0.260565074611439,0.617163459326372
"803","Chile","Food",2011,50,0.715725902058928,0.631425644345582
"804","Chile","Government",2011,0,0.282918753400887,0.550262532588983
"805","Chile","Gross Fixed Capital Formation",2011,0,0.00434288653047861,0.390702670504106
"806","Chile","Housing",2011,14.2857142857143,0.592644626257571,0.897280643036519
"807","Chile","Services",2011,19.047619047619,0.318157061293798,0.646486048885924
"808","China","Food",2004,54.5454545454545,0.43239904500548,0.617296933773351
"809","China","Gross Fixed Capital Formation",2004,40,-0.00445655095940076,0.338749508223826
"810","China","Housing",2004,0,-0.138896036408861,0.631040530236653
"811","China","Services",2004,50,-0.212780466116122,0.321035484638446
"812","China","Food",2007,54.5454545454545,0.613082224153771,0.623479220333716
"813","China","Gross Fixed Capital Formation",2007,16.6666666666667,-0.253610983723848,0.383678846974159
"814","China","Housing",2007,14.2857142857143,-0.0896741576610206,0.662677894111937
"815","China","Personal Transportation",2007,88.8888888888889,0.875176623415267,0.745920745920746
"816","China","Services",2007,38.0952380952381,-0.0177036788650362,0.50627081298207
"817","China","Food",2011,40,0.680621965616095,0.571058890406683
"818","China","Gross Fixed Capital Formation",2011,16.6666666666667,0.208963972085989,0.502370227617394
"819","China","Housing",2011,14.2857142857143,0.000880915754087492,0.707094009193681
"820","China","Services",2011,38.0952380952381,0.0664933516448494,0.535768685155051
"821","Colombia","Food",2004,18.1818181818182,0.428338215850219,0.703142777314263
"822","Colombia","Government",2004,0,-0.209666321367993,0.501105066853036
"823","Colombia","Gross Fixed Capital Formation",2004,40,0.0332347700675549,0.333065763679904
"824","Colombia","Housing",2004,0,0.0394797858633548,0.709630020566331
"825","Colombia","Services",2004,0,-0.0950957072664037,0.54075367279369
"826","Colombia","Food",2007,54.5454545454545,0.294821159297486,0.574179067010179
"827","Colombia","Government",2007,0,-0.439880074629664,0.490754968942806
"828","Colombia","Gross Fixed Capital Formation",2007,16.6666666666667,-0.0668365940900178,0.440916103077452
"829","Colombia","Housing",2007,14.2857142857143,0.0496356347172221,0.730177068087695
"830","Colombia","Personal Transportation",2007,88.8888888888889,-0.409840638128914,0.531468531468531
"831","Colombia","Services",2007,14.2857142857143,-0.0589381211339058,0.55673660776011
"832","Colombia","Food",2011,40,0.0721783668224816,0.472047567603844
"833","Colombia","Government",2011,0,-0.232257699926818,0.463741210357231
"834","Colombia","Gross Fixed Capital Formation",2011,0,-0.121462843110379,0.371822293836166
"835","Colombia","Housing",2011,14.2857142857143,0.0758583429188797,0.755782512440435
"836","Colombia","Services",2011,14.2857142857143,-0.0270772888579888,0.564341160458985
"837","Costa Rica","Food",2004,54.5454545454545,0.467808495324742,0.652741534433126
"838","Costa Rica","Government",2004,10,0.342135849959126,0.638088315194072
"839","Costa Rica","Gross Fixed Capital Formation",2004,20,-0.0955929516470558,0.308261172883543
"840","Costa Rica","Housing",2004,16.6666666666667,0.746610836633308,0.933898865179684
"841","Costa Rica","Services",2004,16.6666666666667,0.46100386320246,0.62261115060047
"842","Costa Rica","Food",2007,45.4545454545455,0.54204490607327,0.552355110877061
"843","Costa Rica","Government",2007,0,0.364030633960877,0.639123130964199
"844","Costa Rica","Gross Fixed Capital Formation",2007,0,-0.355692589785125,0.345850401798951
"845","Costa Rica","Housing",2007,14.2857142857143,0.822657994192869,0.927865407996111
"846","Costa Rica","Personal Transportation",2007,88.8888888888889,-0.200326954181493,0.566433566433566
"847","Costa Rica","Services",2007,23.8095238095238,0.375594978197345,0.637877219335026
"848","Costa Rica","Food",2011,50,0.638467079525117,0.626674851400356
"849","Costa Rica","Government",2011,0,0.434430243107069,0.581224176984899
"850","Costa Rica","Gross Fixed Capital Formation",2011,16.6666666666667,-0.355501401553406,0.328762376439602
"851","Costa Rica","Housing",2011,14.2857142857143,0.792071290119813,0.935467608617832
"852","Costa Rica","Services",2011,19.047619047619,0.544548464394691,0.68178333290155
"853","Croatia","Food",2004,45.4545454545455,0.15887726442016,0.535460736979374
"854","Croatia","Government",2004,10,-0.305634106605675,0.429780746747284
"855","Croatia","Gross Fixed Capital Formation",2004,40,0.497143668081514,0.454835179932617
"856","Croatia","Housing",2004,0,0.623650404699805,0.870489211804458
"857","Croatia","Services",2004,38.8888888888889,0.235113128321878,0.556828134458245
"858","Croatia","Food",2007,45.4545454545455,0.456927391322062,0.535814907455215
"859","Croatia","Government",2007,0,-0.116740713011383,0.538132209057352
"860","Croatia","Gross Fixed Capital Formation",2007,16.6666666666667,0.129147136858555,0.484697427791126
"861","Croatia","Housing",2007,14.2857142857143,0.606797229897753,0.879499383707741
"862","Croatia","Personal Transportation",2007,88.8888888888889,-0.102553901672697,0.582750582750583
"863","Croatia","Services",2007,19.047619047619,0.447438227914984,0.714169363954026
"864","Croatia","Food",2011,50,0.569533176766411,0.611197065334043
"865","Croatia","Government",2011,16.6666666666667,-0.0990351675359284,0.484245192624525
"866","Croatia","Gross Fixed Capital Formation",2011,0,0.35050076861893,0.477733434925815
"867","Croatia","Housing",2011,14.2857142857143,0.586702318725532,0.890759487874738
"868","Croatia","Services",2011,19.047619047619,0.515249293990527,0.73132814783654
"869","Cyprus","Food",2004,45.4545454545455,0.525253701692916,0.557540946801518
"870","Cyprus","Government",2004,10,0.403441518138201,0.561957190017038
"871","Cyprus","Gross Fixed Capital Formation",2004,0,0.462455023768818,0.358288502529162
"872","Cyprus","Housing",2004,0,0.889800840575195,0.960135307109051
"873","Cyprus","Services",2004,5.55555555555556,0.510613779767713,0.728525546475462
"874","Cyprus","Food",2007,45.4545454545455,-0.120712155355897,0.500800647503281
"875","Cyprus","Government",2007,9.09090909090909,0.44066150520428,0.60388292265096
"876","Cyprus","Gross Fixed Capital Formation",2007,0,0.17405144640134,0.43166095334756
"877","Cyprus","Housing",2007,14.2857142857143,0.848667836499049,0.959335768230626
"878","Cyprus","Personal Transportation",2007,88.8888888888889,0.470116834450253,0.678321678321678
"879","Cyprus","Services",2007,19.047619047619,0.61142190294171,0.751723879181919
"880","Cyprus","Food",2011,40,-0.0722860501182054,0.486412668917083
"881","Cyprus","Government",2011,8.33333333333333,0.611288683290135,0.576416543842372
"882","Cyprus","Gross Fixed Capital Formation",2011,0,0.499133833070319,0.498613764134555
"883","Cyprus","Housing",2011,14.2857142857143,0.794287881115799,0.958252915551393
"884","Cyprus","Services",2011,23.8095238095238,0.599811151986808,0.740305359327117
"885","Czech Republic","Personal Transportation",2007,88.8888888888889,0.595825044818706,0.699300699300699
"886","Denmark","Food",2004,36.3636363636364,0.426123011267525,0.496645157285091
"887","Denmark","Government",2004,10,0.844541701864772,0.66206046011961
"888","Denmark","Gross Fixed Capital Formation",2004,0,0.282303193767335,0.325341867442279
"889","Denmark","Housing",2004,0,0.976033579062634,0.986243748135625
"890","Denmark","Services",2004,22.2222222222222,1.04412148245797,0.829538761219022
"891","Denmark","Food",2007,45.4545454545455,0.35329842464087,0.542334432074541
"892","Denmark","Government",2007,9.09090909090909,0.740593561289108,0.657202701503469
"893","Denmark","Gross Fixed Capital Formation",2007,0,0.285829593529207,0.436943549727145
"894","Denmark","Housing",2007,14.2857142857143,0.939043954463044,0.986243737122105
"895","Denmark","Personal Transportation",2007,88.8888888888889,1.74116651706461,0.89044289044289
"896","Denmark","Services",2007,33.3333333333333,0.851740838116789,0.772281215497705
"897","Denmark","Food",2011,50,0.335956027168748,0.579467530358302
"898","Denmark","Government",2011,8.33333333333333,0.755967692554786,0.603069142564404
"899","Denmark","Gross Fixed Capital Formation",2011,0,0.629360331471986,0.513911600196761
"900","Denmark","Housing",2011,14.2857142857143,0.896632040901941,0.988225841375761
"901","Denmark","Services",2011,38.0952380952381,0.750790938966382,0.732219353608829
"902","Dominican Republic","Food",2004,45.4545454545455,-0.537791798051253,0.400778859618568
"903","Dominican Republic","Gross Fixed Capital Formation",2004,20,-0.138932316648563,0.290282902645773
"904","Dominican Republic","Housing",2004,16.6666666666667,0.471165683186336,0.854837372435233
"905","Dominican Republic","Services",2004,38.8888888888889,-0.119668065655843,0.49892905294264
"906","Dominican Republic","Food",2007,9.09090909090909,0.237095620849902,0.607284530948765
"907","Dominican Republic","Government",2007,0,-0.161424452655149,0.533535281933797
"908","Dominican Republic","Gross Fixed Capital Formation",2007,0,-0.0263280069963863,0.416233390428436
"909","Dominican Republic","Housing",2007,28.5714285714286,0.468403366152492,0.868499027185973
"910","Dominican Republic","Personal Transportation",2007,33.3333333333333,0.397451234844004,0.740652381030245
"911","Dominican Republic","Services",2007,33.3333333333333,-0.169573754018663,0.500769027477295
"912","Dominican Republic","Food",2011,40,0.0709530480047638,0.470379280169013
"913","Dominican Republic","Government",2011,16.6666666666667,-0.226464256476798,0.477427243441173
"914","Dominican Republic","Gross Fixed Capital Formation",2011,16.6666666666667,-0.0385448257711086,0.373290391939844
"915","Dominican Republic","Housing",2011,14.2857142857143,0.403128417211384,0.823701171854454
"916","Dominican Republic","Services",2011,23.8095238095238,-0.10381778980066,0.585205372718992
"917","Ecuador","Food",2004,9.09090909090909,0.0169240033801391,0.564354251751834
"918","Ecuador","Government",2004,20,0.114846773515595,0.537225870790755
"919","Ecuador","Gross Fixed Capital Formation",2004,40,-0.0688139453868671,0.34010966414628
"920","Ecuador","Housing",2004,0,0.191731219890297,0.766570531411569
"921","Ecuador","Services",2004,16.6666666666667,-0.273359635731893,0.52509386959487
