"indicator","series","seriesDescription","seriesCount","timePeriodStart"
"57572",16.2.2,VC_HTF_DETVFL,Detected victims of human trafficking for forced labour; servitude and slavery; by age and sex (number),1945,2011
"57672",16.2.2,VC_HTF_DETVOP,Detected victims of human trafficking for other purposes; by age and sex (number),1664,2004
"57679",16.2.2,VC_HTF_DETVOP,Detected victims of human trafficking for other purposes; by age and sex (number),1664,2007
"57686",16.2.2,VC_HTF_DETVOP,Detected victims of human trafficking for other purposes; by age and sex (number),1664,2011
"57863",16.2.2,VC_HTF_DETVOG,Detected victims of human trafficking for removal of organ; by age and sex (number),1143,2004
"57869",16.2.2,VC_HTF_DETVOG,Detected victims of human trafficking for removal of organ; by age and sex (number),1143,2007
"57887",16.2.2,VC_HTF_DETVOG,Detected victims of human trafficking for removal of organ; by age and sex (number),1143,2011
"57971",16.2.2,VC_HTF_DETVSX,Detected victims of human trafficking for sexual exploitaton; by age and sex (number),386,2004
"57977",16.2.2,VC_HTF_DETVSX,Detected victims of human trafficking for sexual exploitaton; by age and sex (number),386,2007
"57995",16.2.2,VC_HTF_DETVSX,Detected victims of human trafficking for sexual exploitaton; by age and sex (number),386,2011
"58021",16.2.2,VC_HTF_DETV,Detected victims of human trafficking; by age and sex (number),998,2004
"58022",16.2.2,VC_HTF_DETV,Detected victims of human trafficking; by age and sex (number),998,2007
"58023",16.2.2,VC_HTF_DETV,Detected victims of human trafficking; by age and sex (number),998,2011
"58170",16.2.3,VC_VAW_SXVLN,Proportion of population aged 18-29 years who experienced sexual violence by age 18; by sex (% of population aged 18-29),69,2011
"58172",16.2.3,VC_VAW_SXVLN,Proportion of population aged 18-29 years who experienced sexual violence by age 18; by sex (% of population aged 18-29),69,2007
"58174",16.3.1,VC_PRR_PHYV,Police reporting rate for physical assault; by sex (%),142,2011
"58179",16.3.1,VC_PRR_SEXV,Police reporting rate for sexual assault; by sex (%),95,2011
"58180",16.3.1,VC_PRR_SEXV,Police reporting rate for sexual assault; by sex (%),95,2004
"58182",16.3.1,VC_PRR_SEXV,Police reporting rate for sexual assault; by sex (%),95,2007
"58190",16.3.1,VC_PRR_ROBB,Police reporting rate for robbery; by sex (%),192,2011
"58192",16.3.1,VC_PRR_ROBB,Police reporting rate for robbery; by sex (%),192,2004
"58193",16.3.1,VC_PRR_ROBB,Police reporting rate for robbery; by sex (%),192,2007
"58215",16.5.1,IU_COR_BRIB,Prevalence rate of bribery; by sex (%),123,2007
"58216",16.5.1,IU_COR_BRIB,Prevalence rate of bribery; by sex (%),123,2011
"58217",16.5.1,IU_COR_BRIB,Prevalence rate of bribery; by sex (%),123,2004
"58231",16.5.2,IC_FRM_BRIB,Bribery incidence (% of firms experiencing at least one bribe payment request),286,2007
"58234",16.5.2,IC_FRM_BRIB,Bribery incidence (% of firms experiencing at least one bribe payment request),286,2011
"58250",16.6.1,GF_XPD_GBPC,Primary government expenditures as a proportion of original approved budget (%),649,2007
"58251",16.6.1,GF_XPD_GBPC,Primary government expenditures as a proportion of original approved budget (%),649,2011
"58286",16.6.1,GF_XPD_GBPC,Primary government expenditures as a proportion of original approved budget (%),649,2004
"58384",16.9.1,SG_REG_BRTH,Proportion of children under 5 years of age whose births have been registered with a civil authority (% of children under 5 years of age),196,2011
"58388",16.9.1,SG_REG_BRTH,Proportion of children under 5 years of age whose births have been registered with a civil authority (% of children under 5 years of age),196,2007
"58391",17.1.1,GR_G14_GDP,Total government revenue (budgetary central government) as a proportion of GDP (%),3241,2004
"58392",17.1.1,GR_G14_GDP,Total government revenue (budgetary central government) as a proportion of GDP (%),3241,2007
"58393",17.1.1,GR_G14_GDP,Total government revenue (budgetary central government) as a proportion of GDP (%),3241,2011
"58910",17.1.1,GR_G14_XDC,Total government revenue; in local currency,2640,2004
"58911",17.1.1,GR_G14_XDC,Total government revenue; in local currency,2640,2007
"58912",17.1.1,GR_G14_XDC,Total government revenue; in local currency,2640,2011
"59335",17.1.2,GC_GOB_TAXD,Proportion of domestic budget funded by domestic taxes (% of GDP),3200,2004
"59336",17.1.2,GC_GOB_TAXD,Proportion of domestic budget funded by domestic taxes (% of GDP),3200,2007
"59337",17.1.2,GC_GOB_TAXD,Proportion of domestic budget funded by domestic taxes (% of GDP),3200,2011
"59847",17.11.1,TX_IMP_GBMRCH,Developing countries’ and least developed countries’ share of global merchandise imports (%),855,2004
"59848",17.11.1,TX_IMP_GBMRCH,Developing countries’ and least developed countries’ share of global merchandise imports (%),855,2007
"59849",17.11.1,TX_IMP_GBMRCH,Developing countries’ and least developed countries’ share of global merchandise imports (%),855,2011
"59982",17.11.1,TX_EXP_GBMRCH,Developing countries’ and least developed countries’ share of global merchandise exports (%),855,2004
"59983",17.11.1,TX_EXP_GBMRCH,Developing countries’ and least developed countries’ share of global merchandise exports (%),855,2007
"59984",17.11.1,TX_EXP_GBMRCH,Developing countries’ and least developed countries’ share of global merchandise exports (%),855,2011
"60117",17.11.1,TX_EXP_GBSVR,Developing countries’ and least developed countries’ share of global services exports (%),855,2004
"60118",17.11.1,TX_EXP_GBSVR,Developing countries’ and least developed countries’ share of global services exports (%),855,2007
"60119",17.11.1,TX_EXP_GBSVR,Developing countries’ and least developed countries’ share of global services exports (%),855,2011
"60252",17.11.1,TX_IMP_GBSVR,Developing countries’ and least developed countries’ share of global services imports (%),855,2004
"60253",17.11.1,TX_IMP_GBSVR,Developing countries’ and least developed countries’ share of global services imports (%),855,2007
"60254",17.11.1,TX_IMP_GBSVR,Developing countries’ and least developed countries’ share of global services imports (%),855,2011
"60387",17.12.1,TM_TAX_DMFN,Average tariff applied by developed countries; most-favored nation status; by type of product (%),11005,2011
"61388",17.12.1,TM_TAX_DPRF,Average tariff applied by developed countries; preferential status; by type of product (%),11005,2011
"62389",17.17.1,GF_COM_PPPI,Amount of United States dollars committed to public-private partnerships for infrastructure; million USD nominal,2580,2004
"62390",17.17.1,GF_COM_PPPI,Amount of United States dollars committed to public-private partnerships for infrastructure; million USD nominal,2580,2007
"62391",17.17.1,GF_COM_PPPI,Amount of United States dollars committed to public-private partnerships for infrastructure; million USD nominal,2580,2011
"62776",17.17.1,GF_COM_PPPI_KD,Amount of United States dollars committed to public-private partnerships for infrastructure; million USD real,2580,2004
"62777",17.17.1,GF_COM_PPPI_KD,Amount of United States dollars committed to public-private partnerships for infrastructure; million USD real,2580,2007
"62778",17.17.1,GF_COM_PPPI_KD,Amount of United States dollars committed to public-private partnerships for infrastructure; million USD real,2580,2011
"63163",17.19.2,SG_REG_CENSUSN,Countries that have conducted at least one population and housing census in the last 10 years (1 = YES; 0 = NO),214,2011
"63226",17.2.1,DC_ODA_SIDSG,Net official development assistance (ODA) to small island states (SIDS) as a percentage of OECD-DAC donors' GNI; by donor countries (%),536,2004
"63227",17.2.1,DC_ODA_SIDSG,Net official development assistance (ODA) to small island states (SIDS) as a percentage of OECD-DAC donors' GNI; by donor countries (%),536,2007
"63228",17.2.1,DC_ODA_SIDSG,Net official development assistance (ODA) to small island states (SIDS) as a percentage of OECD-DAC donors' GNI; by donor countries (%),536,2011
"63311",17.2.1,DC_ODA_LDCG,Net official development assistance (ODA) to LDCs as a percentage of OECD-DAC donors' GNI; by donor countries (%),536,2004
"63312",17.2.1,DC_ODA_LDCG,Net official development assistance (ODA) to LDCs as a percentage of OECD-DAC donors' GNI; by donor countries (%),536,2007
"63313",17.2.1,DC_ODA_LDCG,Net official development assistance (ODA) to LDCs as a percentage of OECD-DAC donors' GNI; by donor countries (%),536,2011
"63396",17.2.1,DC_ODA_LLDC,Net official development assistance (ODA) to landlocked developing countries from OECD-DAC countries; by donor countries (millions of constant 2018 United States dollars),551,2004
"63397",17.2.1,DC_ODA_LLDC,Net official development assistance (ODA) to landlocked developing countries from OECD-DAC countries; by donor countries (millions of constant 2018 United States dollars),551,2007
"63398",17.2.1,DC_ODA_LLDC,Net official development assistance (ODA) to landlocked developing countries from OECD-DAC countries; by donor countries (millions of constant 2018 United States dollars),551,2011
"63483",17.2.1,DC_ODA_SIDS,Net official development assistance (ODA) to small island states (SIDS) from OECD-DAC countries; by donor countries (millions of constant 2018 United States dollars),551,2004
"63484",17.2.1,DC_ODA_SIDS,Net official development assistance (ODA) to small island states (SIDS) from OECD-DAC countries; by donor countries (millions of constant 2018 United States dollars),551,2007
"63485",17.2.1,DC_ODA_SIDS,Net official development assistance (ODA) to small island states (SIDS) from OECD-DAC countries; by donor countries (millions of constant 2018 United States dollars),551,2011
"63570",17.2.1,DC_ODA_LDCS,Net official development assistance (ODA) to LDCs from OECD-DAC countries; by donor countries (millions of constant 2018 United States dollars),551,2004
"63571",17.2.1,DC_ODA_LDCS,Net official development assistance (ODA) to LDCs from OECD-DAC countries; by donor countries (millions of constant 2018 United States dollars),551,2007
"63572",17.2.1,DC_ODA_LDCS,Net official development assistance (ODA) to LDCs from OECD-DAC countries; by donor countries (millions of constant 2018 United States dollars),551,2011
"63657",17.2.1,DC_ODA_LLDCG,Net official development assistance (ODA) to landlocked developing countries as a percentage of OECD-DAC donors' GNI; by donor countries (%),536,2004
"63658",17.2.1,DC_ODA_LLDCG,Net official development assistance (ODA) to landlocked developing countries as a percentage of OECD-DAC donors' GNI; by donor countries (%),536,2007
"63659",17.2.1,DC_ODA_LLDCG,Net official development assistance (ODA) to landlocked developing countries as a percentage of OECD-DAC donors' GNI; by donor countries (%),536,2011
"63742",17.2.1,DC_ODA_TOTG,Net official development assistance (ODA) as a percentage of OECD-DAC donors' GNI; by donor countries (%),512,2004
"63743",17.2.1,DC_ODA_TOTG,Net official development assistance (ODA) as a percentage of OECD-DAC donors' GNI; by donor countries (%),512,2007
"63744",17.2.1,DC_ODA_TOTG,Net official development assistance (ODA) as a percentage of OECD-DAC donors' GNI; by donor countries (%),512,2011
"63828",17.2.1,DC_ODA_TOTL,Net official development assistance (ODA) from OECD-DAC countries; by donor countries (millions of constant 2018 United States dollars),591,2004
"63829",17.2.1,DC_ODA_TOTL,Net official development assistance (ODA) from OECD-DAC countries; by donor countries (millions of constant 2018 United States dollars),591,2007
"63830",17.2.1,DC_ODA_TOTL,Net official development assistance (ODA) from OECD-DAC countries; by donor countries (millions of constant 2018 United States dollars),591,2011
"63917",17.3.1,GF_FRN_FDI,Foreign direct investment (FDI) inflows (millions of US dollars),6368,2004
"63918",17.3.1,GF_FRN_FDI,Foreign direct investment (FDI) inflows (millions of US dollars),6368,2007
"63919",17.3.1,GF_FRN_FDI,Foreign direct investment (FDI) inflows (millions of US dollars),6368,2011
"64591",17.3.2,BX_TRF_PWKR,Volume of remittances (in United States dollars) as a proportion of total GDP (%),5614,2011
"64592",17.3.2,BX_TRF_PWKR,Volume of remittances (in United States dollars) as a proportion of total GDP (%),5614,2004
"64593",17.3.2,BX_TRF_PWKR,Volume of remittances (in United States dollars) as a proportion of total GDP (%),5614,2007
"65222",17.4.1,DT_TDS_DECT,Debt service as a proportion of exports of goods and services (%),3574,2011
"65223",17.4.1,DT_TDS_DECT,Debt service as a proportion of exports of goods and services (%),3574,2004
"65224",17.4.1,DT_TDS_DECT,Debt service as a proportion of exports of goods and services (%),3574,2007
"65610",17.6.1,IT_NET_BBNDN,Number of fixed Internet broadband subscriptions; by speed (number),6750,2004
"65611",17.6.1,IT_NET_BBNDN,Number of fixed Internet broadband subscriptions; by speed (number),6750,2007
"65613",17.6.1,IT_NET_BBNDN,Number of fixed Internet broadband subscriptions; by speed (number),6750,2011
"66464",17.6.1,IT_NET_BBND,Fixed Internet broadband subscriptions per 100 inhabitants; by speed (per 100 inhabitants),7272,2004
"66465",17.6.1,IT_NET_BBND,Fixed Internet broadband subscriptions per 100 inhabitants; by speed (per 100 inhabitants),7272,2007
"66467",17.6.1,IT_NET_BBND,Fixed Internet broadband subscriptions per 100 inhabitants; by speed (per 100 inhabitants),7272,2011
"67318",17.8.1,IT_USE_ii99,Internet users per 100 inhabitants,4440,2004
"67319",17.8.1,IT_USE_ii99,Internet users per 100 inhabitants,4440,2007
"67320",17.8.1,IT_USE_ii99,Internet users per 100 inhabitants,4440,2011
"68050",17.9.1,DC_FTA_TOTAL,Total official development assistance (gross disbursement) for technical cooperation (millions of 2018 United States dollars),3433,2004
"68051",17.9.1,DC_FTA_TOTAL,Total official development assistance (gross disbursement) for technical cooperation (millions of 2018 United States dollars),3433,2007
"68052",17.9.1,DC_FTA_TOTAL,Total official development assistance (gross disbursement) for technical cooperation (millions of 2018 United States dollars),3433,2011
"68597",2.1.1,SN_ITK_DEFC,Prevalence of undernourishment (%),5386,2004
"68598",2.1.1,SN_ITK_DEFC,Prevalence of undernourishment (%),5386,2007
"68599",2.1.1,SN_ITK_DEFC,Prevalence of undernourishment (%),5386,2011
"69479",2.1.1,SN_ITK_DEFCN,Number of undernourish people (millions),5386,2004
"69480",2.1.1,SN_ITK_DEFCN,Number of undernourish people (millions),5386,2007
"69481",2.1.1,SN_ITK_DEFCN,Number of undernourish people (millions),5386,2011
"70361",2.2.1,SH_STA_STNT,Proportion of children moderately or severely stunted (%),687,2004
"70362",2.2.1,SH_STA_STNT,Proportion of children moderately or severely stunted (%),687,2007
"70364",2.2.1,SH_STA_STNT,Proportion of children moderately or severely stunted (%),687,2011
"70452",2.2.1,SH_STA_STNTN,Children moderately or severely stunted (thousands),687,2004
"70453",2.2.1,SH_STA_STNTN,Children moderately or severely stunted (thousands),687,2007
"70455",2.2.1,SH_STA_STNTN,Children moderately or severely stunted (thousands),687,2011
"70543",2.2.2,SH_STA_WAST,Proportion of children moderately or severely wasted (%),616,2004
"70544",2.2.2,SH_STA_WAST,Proportion of children moderately or severely wasted (%),616,2007
"70546",2.2.2,SH_STA_WAST,Proportion of children moderately or severely wasted (%),616,2011
"70634",2.2.2,SH_STA_WASTN,Children moderately or severely wasted (thousands),616,2004
"70635",2.2.2,SH_STA_WASTN,Children moderately or severely wasted (thousands),616,2007
"70637",2.2.2,SH_STA_WASTN,Children moderately or severely wasted (thousands),616,2011
"70725",2.2.2,SN_STA_OVWGT,Proportion of children moderately or severely overweight (%),657,2004
"70726",2.2.2,SN_STA_OVWGT,Proportion of children moderately or severely overweight (%),657,2007
"70727",2.2.2,SN_STA_OVWGT,Proportion of children moderately or severely overweight (%),657,2011
"70810",2.2.2,SN_STA_OVWGTN,Children moderately or severely overweight (thousands),657,2004
"70811",2.2.2,SN_STA_OVWGTN,Children moderately or severely overweight (thousands),657,2007
"70812",2.2.2,SN_STA_OVWGTN,Children moderately or severely overweight (thousands),657,2011
"71027",2.3.1,PD_AGR_SSFP,Productivity of small-scale food producers (agricultural output per labour day; PPP) (constant 2011 international $),2223,2011
"71242",2.3.2,SI_AGR_SSFP,Average income of small-scale food producers; PPP (constant 2011 international $),3211,2007
"71426",2.3.2,SI_AGR_SSFP,Average income of small-scale food producers; PPP (constant 2011 international $),3211,2011
"71538",2.3.2,SI_AGR_SSFP,Average income of small-scale food producers; PPP (constant 2011 international $),3211,2004
"71892",2.5.1,ER_GRF_ANIMRCNTN,Number of local breeds for which sufficient genetic resources are stored for reconstitution,3113,2011
"72172",2.5.2,ER_RSK_LBREDS,Proportion of local breeds classified as being at risk as a share of local breeds with known level of extinction risk (%),5650,2004
"72173",2.5.2,ER_RSK_LBREDS,Proportion of local breeds classified as being at risk as a share of local breeds with known level of extinction risk (%),5650,2007
"72174",2.5.2,ER_RSK_LBREDS,Proportion of local breeds classified as being at risk as a share of local breeds with known level of extinction risk (%),5650,2011
"73015",2.a.1,AG_PRD_ORTIND,Agriculture orientation index for government expenditures,2542,2004
"73016",2.a.1,AG_PRD_ORTIND,Agriculture orientation index for government expenditures,2542,2007
"73017",2.a.1,AG_PRD_ORTIND,Agriculture orientation index for government expenditures,2542,2011
"73440",2.a.1,AG_PRD_AGVAS,Agriculture value added share of GDP (%),2542,2004
"73441",2.a.1,AG_PRD_AGVAS,Agriculture value added share of GDP (%),2542,2007
"73442",2.a.1,AG_PRD_AGVAS,Agriculture value added share of GDP (%),2542,2011
"73865",2.a.1,AG_XPD_AGSGB,Agriculture share of Government Expenditure (%),2542,2004
"73866",2.a.1,AG_XPD_AGSGB,Agriculture share of Government Expenditure (%),2542,2007
"73867",2.a.1,AG_XPD_AGSGB,Agriculture share of Government Expenditure (%),2542,2011
"74290",2.a.2,DC_TOF_AGRL,Total official flows (disbursements) for agriculture; by recipient countries (millions of constant 2018 United States dollars),3376,2004
"74291",2.a.2,DC_TOF_AGRL,Total official flows (disbursements) for agriculture; by recipient countries (millions of constant 2018 United States dollars),3376,2007
"74292",2.a.2,DC_TOF_AGRL,Total official flows (disbursements) for agriculture; by recipient countries (millions of constant 2018 United States dollars),3376,2011
"74824",2.b.1,AG_PRD_XSUBDY,Agricultural export subsidies (millions of current United States dollars),1344,2004
"74825",2.b.1,AG_PRD_XSUBDY,Agricultural export subsidies (millions of current United States dollars),1344,2007
"74826",2.b.1,AG_PRD_XSUBDY,Agricultural export subsidies (millions of current United States dollars),1344,2011
"74993",3.1.1,SH_STA_MORT,Maternal mortality ratio,3960,2004
"74994",3.1.1,SH_STA_MORT,Maternal mortality ratio,3960,2007
"74995",3.1.1,SH_STA_MORT,Maternal mortality ratio,3960,2011
"75653",3.1.2,SH_STA_BRTC,Proportion of births attended by skilled health personnel (%),2535,2011
"75654",3.1.2,SH_STA_BRTC,Proportion of births attended by skilled health personnel (%),2535,2007
"75655",3.1.2,SH_STA_BRTC,Proportion of births attended by skilled health personnel (%),2535,2004
"75973",3.2.1,SH_DYN_IMRTN,Infant deaths (number),11700,2004
"75976",3.2.1,SH_DYN_IMRTN,Infant deaths (number),11700,2007
"75979",3.2.1,SH_DYN_IMRTN,Infant deaths (number),11700,2011
"77728",3.2.1,SH_DYN_MORT,Under-five mortality rate; by sex (deaths per 1;000 live births),14220,2004
"77731",3.2.1,SH_DYN_MORT,Under-five mortality rate; by sex (deaths per 1;000 live births),14220,2007
"77734",3.2.1,SH_DYN_MORT,Under-five mortality rate; by sex (deaths per 1;000 live births),14220,2011
"79861",3.2.1,SH_DYN_IMRT,Infant mortality rate (deaths per 1;000 live births),14220,2004
"79864",3.2.1,SH_DYN_IMRT,Infant mortality rate (deaths per 1;000 live births),14220,2007
"79867",3.2.1,SH_DYN_IMRT,Infant mortality rate (deaths per 1;000 live births),14220,2011
"81994",3.2.1,SH_DYN_MORTN,Under-five deaths (number),11700,2004
"81997",3.2.1,SH_DYN_MORTN,Under-five deaths (number),11700,2007
"82000",3.2.1,SH_DYN_MORTN,Under-five deaths (number),11700,2011
"83749",3.2.2,SH_DYN_NMRTN,Neonatal deaths (number),3900,2004
"83750",3.2.2,SH_DYN_NMRTN,Neonatal deaths (number),3900,2007
"83751",3.2.2,SH_DYN_NMRTN,Neonatal deaths (number),3900,2011
"84334",3.2.2,SH_DYN_NMRT,Neonatal mortality rate (deaths per 1;000 live births),4740,2004
"84335",3.2.2,SH_DYN_NMRT,Neonatal mortality rate (deaths per 1;000 live births),4740,2007
"84336",3.2.2,SH_DYN_NMRT,Neonatal mortality rate (deaths per 1;000 live births),4740,2011
"85045",3.3.1,SH_HIV_INCD,Number of new HIV infections per 1;000 uninfected population; by sex and age (per 1;000 uninfected population),36068,2004
"85058",3.3.1,SH_HIV_INCD,Number of new HIV infections per 1;000 uninfected population; by sex and age (per 1;000 uninfected population),36068,2007
"85071",3.3.1,SH_HIV_INCD,Number of new HIV infections per 1;000 uninfected population; by sex and age (per 1;000 uninfected population),36068,2011
"90742",3.3.2,SH_TBS_INCD,Tuberculosis incidence (per 100;000 population),4439,2004
"90743",3.3.2,SH_TBS_INCD,Tuberculosis incidence (per 100;000 population),4439,2007
"90744",3.3.2,SH_TBS_INCD,Tuberculosis incidence (per 100;000 population),4439,2011
"91441",3.3.3,SH_STA_MALR,Malaria incidence per 1;000 population at risk (per 1;000 population),1705,2011
"91596",3.3.5,SH_TRP_INTVN,Number of people requiring interventions against neglected tropical diseases (number),1854,2011
"91802",3.7.1,SH_FPL_MTMM,Proportion of women of reproductive age (aged 15-49 years) who have their need for family planning satisfied with modern methods (% of women aged 15-49 years),493,2004
"91803",3.7.1,SH_FPL_MTMM,Proportion of women of reproductive age (aged 15-49 years) who have their need for family planning satisfied with modern methods (% of women aged 15-49 years),493,2007
"91804",3.7.1,SH_FPL_MTMM,Proportion of women of reproductive age (aged 15-49 years) who have their need for family planning satisfied with modern methods (% of women aged 15-49 years),493,2011
"91865",3.7.2,SP_DYN_ADKL,Adolescent birth rate (per 1;000 women aged 15-19 years),2626,2007
"91866",3.7.2,SP_DYN_ADKL,Adolescent birth rate (per 1;000 women aged 15-19 years),2626,2011
"91867",3.7.2,SP_DYN_ADKL,Adolescent birth rate (per 1;000 women aged 15-19 years),2626,2004
"92283",3.8.2,SH_XPD_EARN25,Proportion of population with large household expenditures on health (greater than 25%) as a share of total household expenditure or income (%),635,2007
"92284",3.8.2,SH_XPD_EARN25,Proportion of population with large household expenditures on health (greater than 25%) as a share of total household expenditure or income (%),635,2004
"92287",3.8.2,SH_XPD_EARN25,Proportion of population with large household expenditures on health (greater than 25%) as a share of total household expenditure or income (%),635,2011
"92403",3.8.2,SH_XPD_EARN10,Proportion of population with large household expenditures on health (greater than 10%) as a share of total household expenditure or income (%),635,2007
"92404",3.8.2,SH_XPD_EARN10,Proportion of population with large household expenditures on health (greater than 10%) as a share of total household expenditure or income (%),635,2004
"92407",3.8.2,SH_XPD_EARN10,Proportion of population with large household expenditures on health (greater than 10%) as a share of total household expenditure or income (%),635,2011
"92523",3.b.1,SH_ACS_DTP3,Proportion of the target population with access to 3 doses of diphtheria-tetanus-pertussis (DTP3) (%),4541,2004
"92524",3.b.1,SH_ACS_DTP3,Proportion of the target population with access to 3 doses of diphtheria-tetanus-pertussis (DTP3) (%),4541,2007
"92525",3.b.1,SH_ACS_DTP3,Proportion of the target population with access to 3 doses of diphtheria-tetanus-pertussis (DTP3) (%),4541,2011
"93240",3.b.1,SH_ACS_MCV2,Proportion of the target population with access to measles-containing-vaccine second-dose (MCV2) (%),3180,2004
"93241",3.b.1,SH_ACS_MCV2,Proportion of the target population with access to measles-containing-vaccine second-dose (MCV2) (%),3180,2007
"93242",3.b.1,SH_ACS_MCV2,Proportion of the target population with access to measles-containing-vaccine second-dose (MCV2) (%),3180,2011
"93718",3.b.1,SH_ACS_PCV3,Proportion of the target population with access to pneumococcal conjugate 3rd dose (PCV3) (%),1451,2011
"93827",3.b.1,SH_ACS_HPV,Proportion of the target population with access to affordable medicines and vaccines on a sustainable basis; human papillomavirus (HPV) (%),791,2011
"93893",3.b.2,DC_TOF_HLTHNT,Total official development assistance to medical research and basic heath sectors; net disbursement; by recipient countries (millions of constant 2018 United States dollars),1569,2011
"94069",3.b.2,DC_TOF_HLTHL,Total official development assistance to medical research and basic heath sectors; gross disbursement; by recipient countries (millions of constant 2018 United States dollars),3242,2004
"94070",3.b.2,DC_TOF_HLTHL,Total official development assistance to medical research and basic heath sectors; gross disbursement; by recipient countries (millions of constant 2018 United States dollars),3242,2007
"94071",3.b.2,DC_TOF_HLTHL,Total official development assistance to medical research and basic heath sectors; gross disbursement; by recipient countries (millions of constant 2018 United States dollars),3242,2011
"94586",3.b.3,SH_HLF_EMED,Proportion of health facilities that have a core set of relevant essential medicines available and affordable on a sustainable basis (%),37,2011
"94587",3.b.3,SH_HLF_EMED,Proportion of health facilities that have a core set of relevant essential medicines available and affordable on a sustainable basis (%),37,2004
"94592",3.c.1,SH_MED_DEN,Health worker density; by type of occupation (per 10;000 population),7349,2007
"94596",3.c.1,SH_MED_DEN,Health worker density; by type of occupation (per 10;000 population),7349,2011
"94598",3.c.1,SH_MED_DEN,Health worker density; by type of occupation (per 10;000 population),7349,2004
"95858",3.c.1,SH_MED_HWRKDIS,Health worker distribution; by sex and type of occupation (%),2428,2004
"95860",3.c.1,SH_MED_HWRKDIS,Health worker distribution; by sex and type of occupation (%),2428,2007
"95862",3.c.1,SH_MED_HWRKDIS,Health worker distribution; by sex and type of occupation (%),2428,2011
"96148",3.d.1,SH_IHR_CAPS,International Health Regulations (IHR) capacity; by type of IHR capacity (%),20156,2011
"98202",4.1.1,SE_TOT_PRFL,Proportion of children and young people achieving a minimum proficiency level in reading and mathematics (%),3989,2007
"98211",4.1.1,SE_TOT_PRFL,Proportion of children and young people achieving a minimum proficiency level in reading and mathematics (%),3989,2011
"98458",4.1.1,SE_TOT_PRFL,Proportion of children and young people achieving a minimum proficiency level in reading and mathematics (%),3989,2004
"98696",4.1.2,SE_TOT_CPLR,Completion rate; by sex; location; wealth quintile and education level (%),76428,2011
"98858",4.1.2,SE_TOT_CPLR,Completion rate; by sex; location; wealth quintile and education level (%),76428,2004
"98912",4.1.2,SE_TOT_CPLR,Completion rate; by sex; location; wealth quintile and education level (%),76428,2007
"110859",4.2.1,SE_DEV_ONTRK,Proportion of children aged 36-59 months who are developmentally on track in at least three of the following domains: literacy-numeracy; physical development; social-emotional development; and learning (% of children aged 36-59 months),81,2011
"110864",4.2.2,SE_PRE_PARTN,Participation rate in organized learning (one year before the official primary entry age); by sex (%),5883,2004
"110867",4.2.2,SE_PRE_PARTN,Participation rate in organized learning (one year before the official primary entry age); by sex (%),5883,2011
"110876",4.2.2,SE_PRE_PARTN,Participation rate in organized learning (one year before the official primary entry age); by sex (%),5883,2007
"111745",4.3.1,SE_ADT_EDUCTRN,Participation rate in formal and non-formal education and training; by sex (%),1009,2007
"111748",4.3.1,SE_ADT_EDUCTRN,Participation rate in formal and non-formal education and training; by sex (%),1009,2004
"111751",4.3.1,SE_ADT_EDUCTRN,Participation rate in formal and non-formal education and training; by sex (%),1009,2011
"112033",4.5.1,SE_GPI_PTNPRE,Gender parity index for participation rate in organized learning (one year before the official primary entry age); (ratio),1663,2004
"112034",4.5.1,SE_GPI_PTNPRE,Gender parity index for participation rate in organized learning (one year before the official primary entry age); (ratio),1663,2011
"112037",4.5.1,SE_GPI_PTNPRE,Gender parity index for participation rate in organized learning (one year before the official primary entry age); (ratio),1663,2007
"112283",4.5.1,SE_GPI_TCAQ,Gender parity index of trained teachers; by education level (ratio),4046,2004
"112284",4.5.1,SE_GPI_TCAQ,Gender parity index of trained teachers; by education level (ratio),4046,2007
"112287",4.5.1,SE_GPI_TCAQ,Gender parity index of trained teachers; by education level (ratio),4046,2011
"112891",4.5.1,SE_GPI_PART,Gender parity index for participation rate in formal and non-formal education and training (ratio),321,2007
"112892",4.5.1,SE_GPI_PART,Gender parity index for participation rate in formal and non-formal education and training (ratio),321,2004
"112893",4.5.1,SE_GPI_PART,Gender parity index for participation rate in formal and non-formal education and training (ratio),321,2011
"112985",4.5.1,SE_NAP_ACHI,Native parity index for achievement (ratio),864,2007
"112987",4.5.1,SE_NAP_ACHI,Native parity index for achievement (ratio),864,2011
"113038",4.5.1,SE_LGP_ACHI,Language test parity index for achievement (ratio),1035,2007
"113043",4.5.1,SE_LGP_ACHI,Language test parity index for achievement (ratio),1035,2011
"113162",4.5.1,SE_TOT_GPI,Gender parity index for achievement (ratio),1411,2007
"113165",4.5.1,SE_TOT_GPI,Gender parity index for achievement (ratio),1411,2011
"113326",4.5.1,SE_TOT_SESPI,Low to high socio-economic parity status index for achievement (ratio),1193,2007
"113329",4.5.1,SE_TOT_SESPI,Low to high socio-economic parity status index for achievement (ratio),1193,2011
"113486",4.5.1,SE_TOT_RUPI,Rural to urban parity index for achievement (ratio),930,2007
"113489",4.5.1,SE_TOT_RUPI,Rural to urban parity index for achievement (ratio),930,2011
"113619",4.5.1,SE_ALP_CPLR,Adjusted location parity index for completion rate; by sex; location; wealth quintile and education level,23538,2011
"113728",4.5.1,SE_ALP_CPLR,Adjusted location parity index for completion rate; by sex; location; wealth quintile and education level,23538,2004
"113731",4.5.1,SE_ALP_CPLR,Adjusted location parity index for completion rate; by sex; location; wealth quintile and education level,23538,2007
